"acquisition","added","agreed","agreement","also","announced","annual","april","around","assets","avg","bank","banks","billion","board","business","but","buy","capital","cash","central","chairman","commission","common","companies","company","compared","corp","countries","cts","current","cut","december","department","div","dlr","dlrs","dollar","domestic","due","earlier","earnings","economic","end","ended","exchange","expected","export","exports","february","federal","fell","financial","first","five","foreign","four","gain","government","group","growth","higher","however","imports","inc","includes","including","increase","industry","interest","international","investment","january","japan","june","last","loss","lower","ltd","made","major","make","march","market","markets","may","meeting","minister","mln","month","months","mths","national","net","new","next.","nine","note","now","offer","official","officials","oil","one","operations","pay","pct","per","period","president","price","prices","prior","production","products","profit","quarter","rate","rates","recent","record","report","reported","reuter","revs","rise","rose","said","sale","sales","securities","set","seven","share","shareholders","shares","shr","shrs","since","six","sources","spokesman","statement","states","stock","subsidiary","take","tax","terms","the","this","three","time","today","told","tonnes","total","trade","trading","two","united","week","west","will","world","year","years","yesterday","acquisition.1","added.1","agreed.1","agreement.1","also.1","announced.1","annual.1","april.1","around.1","assets.1","avg.1","bank.1","banks.1","billion.1","board.1","business.1","but.1","buy.1","capital.1","cash.1","central.1","chairman.1","commission.1","common.1","companies.1","company.1","compared.1","corp.1","countries.1","cts.1","current.1","cut.1","december.1","department.1","div.1","dlr.1","dlrs.1","dollar.1","domestic.1","due.1","earlier.1","earnings.1","economic.1","end.1","ended.1","exchange.1","expected.1","export.1","exports.1","february.1","federal.1","fell.1","financial.1","first.1","five.1","foreign.1","four.1","gain.1","government.1","group.1","growth.1","higher.1","however.1","imports.1","inc.1","includes.1","including.1","increase.1","industry.1","interest.1","international.1","investment.1","january.1","japan.1","june.1","last.1","loss.1","lower.1","ltd.1","made.1","major.1","make.1","march.1","market.1","markets.1","may.1","meeting.1","minister.1","mln.1","month.1","months.1","mths.1","national.1","net.1","new.1","next..1","nine.1","note.1","now.1","offer.1","official.1","officials.1","oil.1","one.1","operations.1","pay.1","pct.1","per.1","period.1","president.1","price.1","prices.1","prior.1","production.1","products.1","profit.1","quarter.1","rate.1","rates.1","recent.1","record.1","report.1","reported.1","reuter.1","revs.1","rise.1","rose.1","said.1","sale.1","sales.1","securities.1","set.1","seven.1","share.1","shareholders.1","shares.1","shr.1","shrs.1","since.1","six.1","sources.1","spokesman.1","statement.1","states.1","stock.1","subsidiary.1","take.1","tax.1","terms.1","the.1","this.1","three.1","time.1","today.1","told.1","tonnes.1","total.1","trade.1","trading.1","two.1","united.1","week.1","west.1","will.1","world.1","year.1","years.1","yesterday.1","topic"
0,0,0,0,4,0,0,1,0,0,0,0,0,5,0,1,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,6,0,0,1,0,0,2,1,0,1,0,1,6,0,0,0,1,1,0,1,0,1,1,1,0,0,0,5,0,0,0,0,3,1,1,0,0,9,0,4,1,0,1,0,2,0,0,1,2,0,0,3,1,0,1,0,0,0,1,0,0,0,0,0,2,2,0,1,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,2,0,0,0,16,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,5,1,0,1,0,1,0,0,15,1,2,0,1,0,3,1,4,0,1,0,0,0,0,0.0221878890825638,0,0,0.00641118946098763,0,0,0,0,0,0.0295866185539841,0,0.00924605838955438,0.0162968270720942,0,0,0,0,0.00936310682902596,0,0,0,0,0,0,0.0185445981577175,0,0,0.00982746581759151,0,0,0,0,0.0179296520910119,0,0,0.00862799059733835,0,0,0.0182963990506558,0.00870254891518076,0,0.00753388783594013,0,0.00943980739910377,0.0554137206277228,0,0,0,0.00921484180350242,0.00731100006369121,0,0.00837349224791475,0,0.00965742815236436,0.00787145904187138,0.00735203253822307,0,0,0,0.0494518759747195,0,0,0,0,0.0275980297716863,0.00813717775757727,0.00776618906492449,0,0,0.0839287180603832,0,0.0210738846444801,0.0066936615046242,0,0.0086584878969105,0,0.0170007618879361,0,0,0.00634962613021093,0.0190822183912147,0,0,0.0283194221973113,0.00250002057166358,0,0.00825903948613706,0,0,0,0.00605192312042134,0,0,0,0,0,0.0184921167791088,0.0186830300323277,0,0.00560560003764561,0,0,0.00761093206298757,0,0,0,0,0,0,0,0.028236629384273,0,0,0,0,0,0.00741755811665603,0,0,5.58635678210732e-05,0,0,0,0.0188468942196107,0,0.00686988183319934,0,0,0,0.00593649487438956,0,0,0,0,0,0,0.0097413548798389,0.00889899602798513,0,0,0.00667678530406411,0,0,0,0,0.0108836780677913,0.00969912543691716,0,0.00898965741373429,0,0.00685462154367654,0,0,0.107989613732398,0.00977185217941105,0.0117322192299571,0,0.00807421909178594,0,0.0122172790159152,0.00932541311782036,0.0154171690060557,0,0.00980882388895985,"topic.trade"
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.040991184915245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0581687481738291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0369494565845872,0,0,0,0.0694330816120694,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0843652469354893,0,0,0,0,0,0,0.0643760056977291,0,0,0,0,0,0,0,0,0,0.000206411148898202,0,0,0,0.0261141288551385,0,0,0,0,0.144243867997294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032171414491912,0,0,0,0,0,0.12822895917276,0,0,0,0,0,0,0,0,0,0.0284825664688147,0,0,"topic.grain"
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0.022393332499995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0398002236850162,0,0,0,0,0,0.0372845404223567,0,0.030326824162533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0398766297317325,0,0.074276178891699,0,0.0313523928917322,0,0,0,0,0,0,0.0383345042052222,0,0,0,0,0.0268095966919612,0,0,0,0,0,0.0201853512823208,0,0,0,0,0,0,0,0,0,0,0,0,0.0754240842045824,0.0612092114878378,0,0,0,0.0460884219369803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000112761646157351,0,0.0349723177135334,0,0.0190214024994219,0,0,0,0,0,0,0,0,0,0,0,0,0.0393262104408311,0,0,0,0,0,0,0,0,0.0175751245835445,0,0,0,0,0,0,0,0.0290638713502008,0,0,0,0,0,0.0328810719193767,0,0.0311198411418531,0,0,"topic.crude"
0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,0,1,2,1,0,0,1,0,3,0,0,0,0,0,0,2,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,10,0,0,0,0,1,0,0,2,0,3,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15958473017984,0,0.0831192053164064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0864997131952887,0,0,0,0,0,0.0775629670193715,0,0.0849108170476678,0,0,0,0,0.0337659485520986,0.0848609489898813,0.041512684181593,0,0,0.0434619549477734,0,0.0985854441578155,0,0,0,0,0,0,0.0860814807941679,0,0.0423311542944625,0.0889114141236194,0,0,0.0443987217631661,0.0359823278472445,0,0,0,0,0,0,0,0,0,0.0853634320446185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0681504622751184,0,0,0,0.17104981337436,0,0,0,0,0.0340043727626984,0,0,0.0846128550621515,0,0.111579043414052,0,0,0,0,0,0,0.000125549049329834,0,0,0.0385493881145613,0.0158838515716822,0,0,0,0,0.0438679804734039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0195681799486887,0,0,0,0,0,0,0,0.0323597742868215,0,0,0,0,0,0,0,0.0346488952919602,0,0,"topic.corn"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,4,0,0,1,2,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0365562995248398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0231459515833658,0,0,0,0,0,0,0,0,0,0,0.0646403188468784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000106826822675385,0,0,0,0.0270304140781258,0,0,0,0,0,0,0,0,0,0,0,0,0.0745128197826274,0,0,0.0357066368998171,0,0,0,0,0,0.0333002360530317,0,0,0.0343814967753347,0.0577710355774666,0,0,0,0,0,0,0,0.0617606934038363,0,0.0311504891867779,0,0,0,0.0375144492595307,"topic.ship"
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116469941874609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.349603007497625,0,0,0.0542870021644527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16970418946031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000507427407708081,0,0,0,0.0427981556236992,0.16331210968284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157614762316517,0,0,0,0,0,0,0,0,0,0,0,0,"topic.wheat"
0,1,2,0,2,0,0,0,2,0,0,10,4,1,1,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,2,2,0,0,0,1,0,3,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,1,0,0,3,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,2,1,0,0,1,0,0,0,0,1,0,3,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,15,0,0,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,3,3,0,1,0,0,0,0,3,0,0,0,11,0,0,3,0,0,0.00836784176713425,0.0182751532184217,0,0.011943110666664,0,0,0,0.0197407068858737,0,0,0.0750156821947351,0.0407212249528226,0.00637025466149978,0.00912863755815236,0.0796302510191745,0.043860596317488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00643401507134254,0,0.021226785965342,0,0,0,0,0,0,0.0162211115875057,0.0161743062200176,0,0,0,0.01024078663801,0,0.0297605261209412,0.00787060747597375,0.00836063810446192,0,0,0,0.00847396578334795,0,0,0,0,0,0,0,0.010633767928462,0.00861798963254991,0,0,0,0.019303619627505,0,0,0,0.00567173685493416,0,0,0.0279637090596517,0.00884969481011135,0,0.0106405855572942,0,0,0,0.00710595439169569,0,0,0.0026913801709761,0,0,0,0,0,0.0130303134839689,0.00979959675497866,0,0,0.00911527090090207,0,0,0,0,0.00603467065781108,0,0.027292579068682,0.0122902458498614,0,0,0.00947038509227593,0,0,0,0,0,0,0,0,0,0.0104935316198116,0,0,0,3.0069772308627e-05,0,0,0,0.0190214024994219,0,0,0.0879547728933953,0,0,0.012781786494982,0,0,0,0,0,0,0,0,0,0,0,0.0208959735244587,0,0,0,0.0093733997778904,0,0.0233424363535734,0.0290332639436159,0,0.00737929627911845,0,0,0,0,0.01894536142319,0,0,0,0.0482255721484192,0,0,0.0259355021645628,0,"topic.acq"
0,0,0,1,0,0,0,1,0,0,0,1,3,8,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,3,0,0,0,2,0,0,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0.0221924564498464,0,0,0,0.0187602590938967,0,0,0,0.0203901686502468,0.0830139065732876,0.138520973847378,0,0,0,0.0274457425089293,0,0,0.0278855623749632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023998603455232,0,0,0,0,0,0,0,0,0,0,0,0,0.021393261931338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0238108020288838,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0743204561817978,0,0.0193148424740722,0,0,0,0.049028114454395,0,0,0,0.0124906257781893,0,0.0266364878239353,0,0,0,0,0,0,0,0,0,0,0.0222709152984066,0,0,0,0,0,0,0,0,0,0,0.0238766697458433,0.0275417682584856,0,0,0,0,8.17332737247916e-05,0,0,0,0.0137873253015944,0,0,0.0531270440295676,0,0,0,0,0,0,0,0,0.0231961690375769,0,0.0781200456684869,0,0,0,0,0,0,0,0.0191085247149947,0,0,0,0.0442006580928268,0,0,0.0225315675814422,0,0,0.0343305206997402,0,0,0,0.0238332601831724,0,0,0,0,"topic.interest"
1,0,0,0,1,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,2,0,0,0,0,2,1,4,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,3,0,0,0,0,1,2,0,0,0.0259684299616845,0,0,0,0.0151154994374966,0,0,0,0,0,0,0.0189883445555423,0.0515378003309161,0.0161247071119213,0,0,0,0,0,0,0.051936859923369,0,0,0,0,0.0258527058515579,0.0247102428425,0.0632295843601419,0,0,0,0.0267798443529369,0.0266116147715452,0,0,0,0.0081430503246679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0211628652019192,0,0,0,0,0.0143565839140521,0.0364804552002019,0,0.0471887590381622,0,0,0,0,0,0,0,0,0,0.0136251121155665,0,0,0,0,0.0232637905118775,0,0,0,0,0,0,0,0,0,0,0.0495287964490891,0,0,0,0,0,0,0.0206151509873859,0,0,0,0,0,0,0,0,0,0,0.0248874503178077,7.61141111562122e-05,0,0,0,0.0256788933742195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076322936373359,0,0,0,0,0,0,0.00593160454694627,0,0,0,0,0.0186788437065186,0,0.0209825223102181,0,0,0.0479554461024496,0,0,0,0,0.0254117507460605,0.0210058927707509,0,0,"topic.acq"
0,0,0,1,4,0,0,1,0,0,0,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,6,0,0,1,1,0,0,0,0,0,12,0,1,0,0,0,0,0,0,1,7,0,0,0,2,0,1,0,0,0,0,1,1,0,0,0,1,4,2,0,2,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,1,0,1,0,11,0,3,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,1,0,0,0,0,0,0.0118518853441832,0.0346735470967664,0,0,0.0100189197311491,0,0,0,0,0,0.00924714386346742,0,0.0288980749666359,0.0127337215115288,0.0146574037054855,0,0,0,0,0,0,0,0,0,0,0.0144900444386467,0,0,0,0.0152611410876245,0,0,0,0.00466984964855507,0,0,0.0404495043058013,0,0,0,0,0,0,0.0117394158048515,0,0.0577309012991329,0,0,0,0,0,0,0,0,0,0.0123009180726019,0.0114891978016676,0,0,0,0.0927355609676461,0,0,0.0154361147348642,0.0125099849504757,0,0,0,0,0,0.174876564273965,0,0.00823316640232378,0,0,0,0,0,0,0.0103779083968882,0.0694589926501927,0,0,0,0.0295036274265896,0,0.013091736655385,0,0,0,0,0.00945748559320325,0.0142252210959368,0,0,0,0.0140559189210895,0.0577961499332718,0.0291964196920964,0,0.0175200115871935,0,0,0,0,0,0,0,0,0.0136905869503234,0,0.0882521176454698,0,0,0,0,0,0,0,0,4.3649669480265e-05,0,0.0135376713729807,0,0.0202485897574491,0,0.0322071879491926,0,0,0,0.0185542062023932,0,0,0,0,0.0136205188055034,0,0,0,0,0,0,0,0,0,0,0.0034016370161699,0,0,0,0,0,0,0,0.0337515925357171,0,0,0,0,0,0.031820392180042,0,0.00602319505971351,0,0,"topic.corn"
