"acquisition","added","agreed","agreement","also","announced","annual","april","around","assets","avg","bank","banks","billion","board","business","but","buy","capital","cash","central","chairman","commission","common","companies","company","compared","corp","countries","cts","current","cut","december","department","div","dlr","dlrs","dollar","domestic","due","earlier","earnings","economic","end","ended","exchange","expected","export","exports","february","federal","fell","financial","first","five","foreign","four","gain","government","group","growth","higher","however","imports","inc","includes","including","increase","industry","interest","international","investment","january","japan","june","last","loss","lower","ltd","made","major","make","march","market","markets","may","meeting","minister","mln","month","months","mths","national","net","new","next.","nine","note","now","offer","official","officials","oil","one","operations","pay","pct","per","period","president","price","prices","prior","production","products","profit","quarter","rate","rates","recent","record","report","reported","reuter","revs","rise","rose","said","sale","sales","securities","set","seven","share","shareholders","shares","shr","shrs","since","six","sources","spokesman","statement","states","stock","subsidiary","take","tax","terms","the","this","three","time","today","told","tonnes","total","trade","trading","two","united","week","west","will","world","year","years","yesterday","topic"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0655505639058047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0585138454688433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0596209798054738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0640086221111265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0462520721388359,0,0,0.25577719265512,0,0,0,0,0,0,0,0.128241358453573,0,0,0,0.0622186257945193,0.00019028527789053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0148290113673657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"topic.corn"
0,0,0,0,0.0221878890825638,0,0,0,0,0,0,0,0,0,0.0678366644229671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0755184591928302,0,0.0687135066056141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0531272741785653,0,0,0.105611432243551,0,0,0,0.0335100415307562,0,0,0,0,0,0,0,0,0,0,0,0,0.0606476590888668,0,0,0,0,0,0,0,0,0,0,0,0.0376488391790307,0,0,0,0,0,0,0,0,0.000111727135642146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00870694245423306,0,0,0,0,0,0.0347041678495084,0.400400425736272,0,0,0,0,0,0,0,0,0,0,0,"topic.corn"
0,0,0,0,0.0690994259999844,0,0.119936908425007,0.159730205999463,0,0,0,0,0,0,0.21126275491724,0,0,0,0.120823391157025,0,0,0,0,0.109699751723512,0,0.0590918990892752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0967445266373451,0,0,0,0,0,0,0,0,0,0.0680899096253478,0,0,0.0997224514623633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107050174210258,0,0.0622862268140183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117249242014696,0,0,0,0,0,0.0924015811103436,0,0,0.000347950222428398,0,0,0,0.0293473067133938,0,0,0,0,0,0,0.234225051882798,0.175460377518808,0,0,0,0,0,0,0,0,0.166347336718397,0,0,0,0,0.0271159065003258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"topic.earn"
0,0,0,0,0.0374958125581311,0,0,0,0,0,0,0,0,0,0,0,0.0275403744319111,0.0317008963862827,0,0,0,0,0,0.0892904955889054,0,0.064130743197663,0,0,0,0,0.0263392552942586,0,0,0,0,0,0.0403996295177322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0262485149791246,0,0,0,0,0,0,0,0,0,0.036948012974995,0,0.0333850853567993,0.0270564790789358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0214607518819532,0,0,0,0,0.00844968193213427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018946059041965,0,0.0285620013509463,0.0257237703834309,0.0458935289439612,0,0,0.0761383271159428,0,0,0,0,0,0,0,0,0,0,0,0,9.44050991084802e-05,0,0,0,0.0278685664526414,0.0303836483130865,0,0,0,0,0.0401288645772689,0,0.0714082931762593,0,0,0,0,0,0,0,0,0.0451329983344489,0,0,0,0,0.0220710866863117,0,0,0.0303836483130865,0,0,0,0.0260248338731387,0,0,0,0,0,0,0,0,0,0.0271418045908216,0,"topic.acq"
0,0,0,0,0,0,0,0,0,0.145462140501743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123545750219902,0,0,0,0,0,0,0.0898543484101286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116760635596796,0,0,0.14519443704934,0,0,0,0,0,0,0,0.137462205714745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225519097085239,0,0,0,0,0.0641759738258689,0,0,0,0.0959239784698961,0,0,0,0,0,0,0,0,0,0.102073538513293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000419939923620481,0,0,0,0,0,0,0,0,0,0,0,0,0.150213965300854,0,0,0,0,0,0,0,0,0,0,0.129392436088031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0579472904020713,0,0,"topic.earn"
0,0,0,0,0,0,0,0.0363023195453326,0,0,0,0,0,0,0,0,0,0,0.0549197232531933,0,0,0,0,0,0,0.0268599541314887,0,0,0,0.0232651088076439,0.0441268043241475,0,0,0,0,0,0.033841248102516,0,0,0.0977091922192083,0,0,0,0,0,0,0,0,0,0.0486348845455321,0,0,0,0.165589404039967,0,0,0,0,0,0,0,0.0539926500942742,0,0,0.0309499589206127,0,0.0559308572860663,0,0,0,0,0,0,0,0,0.0298318626785498,0,0,0,0,0,0,0.0376030706848287,0,0,0.0373754743978799,0,0,0.0283119212790992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0215478336328739,0,0,0,0,0,0,0,0,0,0.234267688553312,0,0,0,0,0.0544504533044437,0,0.000158159192012908,0,0,0,0.0333492121743111,0,0.0388995906399339,0,0,0.0552622611158465,0.0336144385095305,0,0,0,0,0,0,0,0,0,0,0.0378062128905448,0,0,0,0,0.0123254120456026,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0230594530343681,0,0.0218243041774035,0.0454713349638439,0,"topic.acq"
0,0,0,0,0,0,0,0,0,0,0.123148073940381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195935838239376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0581087132033663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0912011380005047,0,0,0,0,0,0,0,0,0,0,0,0.136251121155665,0,0,0.122025038965181,0,0.0290797381398469,0,0,0.0543650336272887,0.0434655527441717,0,0,0,0,0,0,0,0,0,0.0462520721388359,0,0,0,0,0.0596824024865662,0,0,0.36594920481857,0,0,0,0,0,0,0,0.00019028527789053,0.0898707406246217,0,0,0,0,0,0,0,0.0664874079050028,0,0,0,0.136131406053899,0.123014490968496,0,0.162010743121826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0399628717520413,0,0,0,0,0,0,0,0,"topic.earn"
0,0,0,0,0,0,0,0,0,0,0,0,0,0.11727059717761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0814278808267538,0,0,0,0,0,0.16185955067406,0.118444368358806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.346821035668966,0,0,0.177490965767536,0,0.169191203722745,0,0,0.158152825097567,0,0,0,0,0,0,0.111092800746068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000553557172045179,0.261442154544354,0,0,0,0,0,0,0,0,0,0,0,0.19800931789658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"topic.earn"
0.029260202773729,0,0,0,0.034063097323936,0,0,0,0,0,0,0,0,0.036337368139541,0,0,0,0,0,0,0,0.0287486942074318,0,0,0,0.0436947141153091,0,0.0178111505239836,0,0.0504623486813685,0,0,0.0299849180524453,0,0,0,0.0275258039143704,0,0,0,0.0251816332030251,0.116004919065124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0167827242034308,0,0,0,0,0,0,0,0,0.0286329585871104,0,0.0161764325792136,0,0,0.026585216359528,0,0.0260997612082399,0,0,0,0,0.0202669825960335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0116843886600795,0,0.0279649361480862,0.0270106053688152,0,0,0.0537982219597217,0,0,0,0.0762194874025566,0,0,0,0,0,0.0280421975411918,8.5762378767563e-05,0,0,0,0.0217004732739883,0,0.0210934399948937,0,0,0,0.0729101905699675,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026425215820795,0,0,0,0,0,0,0.0420931689160982,0,0,0,0,0,0.028682398218644,0,0.0291385267777302,0.0375122088094298,0,0.0118343057863385,0.0986279659779149,0,"topic.earn"
0,0,0,0,0,0.0757738970558957,0,0.0517644186109372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038300304965271,0,0,0,0,0,0,0,0.0776895572216944,0,0,0.0241275565175345,0,0,0,0,0,0,0,0,0,0,0.152435408370713,0,0,0,0,0,0,0,0,0.0688695860188045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0726222477589622,0,0,0,0,0,0,0,0.0548172706830648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000225523292314703,0,0,0,0.0190214024994219,0.0725831598590398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.070300498334178,0,0,0,0,0,0.0700510054740076,0,0,0,0,0,0,0,0.0328810719193767,0,0,0,0,"topic.wheat"
