"purpose","topic.earn","topic.acq","topic.money.fx","topic.grain","topic.crude","topic.trade","topic.interest","topic.ship","topic.wheat","topic.corn"
"train",0,0,0,0,0,0,0,0,0,0
"train",0,0,0,1,0,0,0,0,1,1
"train",0,0,0,1,0,0,0,0,1,1
"train",1,0,0,0,0,0,0,0,0,0
"train",0,1,0,0,0,0,0,0,0,0
"train",1,0,0,0,0,0,0,0,0,0
"train",1,1,0,0,0,0,0,0,0,0
"train",1,0,0,0,0,0,0,0,0,0
"train",1,0,0,0,0,0,0,0,0,0
"train",1,0,0,0,0,0,0,0,0,0
"train",0,0,0,1,0,0,0,0,1,0
"train",0,0,0,0,0,0,0,0,0,0
"train",1,0,0,0,0,0,0,0,0,0
"train",1,0,0,0,0,0,0,0,0,0
"train",1,0,0,0,0,0,0,0,0,0
"train",0,0,0,0,0,0,0,0,0,0
"train",1,0,0,0,0,0,0,0,0,0
"train",1,0,0,0,0,0,0,0,0,0
"train",1,0,0,0,0,0,0,0,0,0
"train",1,0,0,0,0,0,0,0,0,0
"train",1,0,0,0,0,0,0,0,0,0
"train",0,0,0,0,0,0,0,0,0,0
"train",0,1,0,0,0,0,0,1,0,0
"train",0,1,0,0,0,0,0,0,0,0
"train",0,0,0,0,0,0,0,0,0,0
"train",0,0,0,0,0,1,0,0,0,0
"train",0,0,0,0,0,0,0,0,0,0
"train",0,0,0,0,0,0,0,1,0,0
"train",1,0,0,0,0,0,0,0,0,0
"train",1,0,0,0,0,0,0,0,0,0
"train",1,0,0,0,0,0,0,0,0,0
"train",0,0,0,1,0,0,0,0,0,1
"train",0,0,0,0,0,0,0,0,0,0
"train",0,0,0,0,0,0,0,1,0,0
"train",1,0,0,0,0,0,0,0,0,0
"train",1,0,0,0,0,0,0,0,0,0
"train",1,0,0,0,0,0,0,0,0,0
"train",0,1,0,0,0,0,0,0,0,0
"train",0,0,0,0,0,0,0,0,0,0
"train",1,0,0,0,0,0,0,0,0,0
"train",1,0,0,0,0,0,0,0,0,0
"train",0,0,0,0,0,0,0,0,0,0
"train",0,0,0,0,0,0,0,0,0,0
"train",0,0,0,0,0,0,0,0,0,0
"train",1,0,0,0,0,0,0,0,0,0
"train",1,0,0,0,0,0,0,0,0,0
"train",1,0,0,0,0,0,0,0,0,0
"train",1,0,0,0,0,0,0,0,0,0
"train",1,0,0,0,0,0,0,0,0,0
"train",1,0,0,0,0,0,0,0,0,0
"train",1,0,0,0,0,0,0,0,0,0
"train",0,1,0,0,0,0,0,0,0,0
"train",0,0,0,1,0,0,0,0,1,1
"train",1,0,0,0,0,0,0,0,0,0
"train",0,0,0,0,0,0,0,0,0,0
"train",0,0,0,0,0,0,0,0,0,0
"train",0,0,0,1,0,0,0,1,0,0
"train",1,0,0,0,0,0,0,0,0,0
"train",0,0,0,0,0,0,0,0,0,0
"train",0,1,0,0,0,0,0,0,0,0
"train",0,0,0,0,0,0,0,0,0,0
"train",1,0,0,0,0,0,0,0,0,0
"train",0,0,0,0,0,0,0,0,0,0
"train",1,0,0,0,0,0,0,0,0,0
"train",0,0,0,1,0,0,0,0,0,0
"train",0,1,0,0,0,0,0,0,0,0
"train",1,0,0,0,0,0,0,0,0,0
"train",0,0,0,0,1,0,0,0,0,0
"train",0,1,0,0,0,0,0,0,0,0
"train",1,0,0,0,0,0,0,0,0,0
"train",0,1,0,0,0,0,0,0,0,0
"train",0,1,0,0,0,0,0,0,0,0
"train",0,0,0,1,0,0,0,0,0,0
"train",1,0,0,0,0,0,0,0,0,0
"train",1,0,0,0,0,0,0,0,0,0
"train",1,0,0,0,0,0,0,0,0,0
"train",1,0,0,0,0,0,0,0,0,0
"train",1,0,0,0,0,0,0,0,0,0
"train",0,0,0,0,1,0,0,0,0,0
"train",1,0,0,0,0,0,0,0,0,0
"train",1,0,0,0,0,0,0,0,0,0
"train",1,0,0,0,0,0,0,0,0,0
"train",1,0,0,0,0,0,0,0,0,0
"train",1,0,0,0,0,0,0,0,0,0
"train",0,1,0,0,0,0,0,0,0,0
"train",0,1,0,0,0,0,0,0,0,0
"train",1,0,0,0,0,0,0,0,0,0
"train",0,1,0,0,0,0,0,0,0,0
"train",1,0,0,0,0,0,0,0,0,0
"train",1,0,0,0,0,0,0,0,0,0
"train",1,0,0,0,0,0,0,0,0,0
"train",1,0,0,0,0,0,0,0,0,0
"train",1,0,0,0,0,0,0,0,0,0
"train",1,0,0,0,0,0,0,0,0,0
"train",1,0,0,0,0,0,0,0,0,0
"train",0,0,0,0,0,0,0,0,0,0
"train",0,0,0,0,0,0,0,0,0,0
"train",0,0,0,1,0,0,0,0,1,0
"train",1,0,0,0,0,0,0,0,0,0
"train",0,1,0,0,0,0,0,0,0,0
"train",0,1,0,0,0,0,0,0,0,0
"train",1,0,0,0,0,0,0,0,0,0
"train",0,0,0,0,1,0,0,0,0,0
